Title,Desc_of_movies,IMDB_ID
Los Tigres del Norte at Folsom Prison ,The beloved norteño band Los Tigres del Norte performs for the inmates of Folsom Prison on the 50th anniversary of Johnny Cash's iconic concert.,10857582
The Lost Brother ,"While settling the affairs of his murdered mother and brother, a man partners with a local thug in a life insurance scam, putting him on a dark path.",6522634
Lost Bullet (Balle perdue) ,"Facing a murder charge, a genius mechanic with a criminal past must track down a missing car containing the proof of his innocence: a single bullet.",10456740
Lost Girls ,"Desperate to find her missing daughter, a mother fights to uncover the truth -- and helps expose a string of unsolved murders. Based on a true story.",3111426
Lost Highway ,"Soon after saxophonist Fred Madison suspects his wife of cheating on him, he is mysteriously framed for her murder and sent to death row.",116922
The Lost Husband ,"Looking to start anew, a widow retreats with her children to her aunt's goat farm, where the ranch's manager helps her navigate country life and loss.",4257940
Lost in London ,"Nigerian students Okon and Bona experience culture shock -- several shocks, really -- after being selected for an exchange program in London.",6338476
Lost in Space ," After crash-landing on an alien planet, the Robinson family fights against all odds to survive and escape. But they're surrounded by hidden dangers.",5232792
The Lost Okoroshi ,"A disillusioned security guard transforms into a masquerade, channeling ancestral spirits as he roams the streets of Lagos.",10888456
The Lost World: Jurassic Park ," Four years after Jurassic Park's genetically bred dinosaurs ran amok, a millionaire reveals that he's been breeding more beasties at a secret site.",119567
Loudon Wainwright III: Surviving Twin ,Grammy-winning singer Loudon Wainwright III reflects upon his unique relationship with his father in an evening of original songs and heartfelt stories.,9203030
Louis C.K. 2017 ,"Louis C.K. muses on religion, eternal love, giving dogs drugs, email fights, teachers and more in a live performance from Washington, D.C.",6736782
Louis C.K.: Hilarious ,"Emmy-winning comedy writer Louis C.K. brings his caustic wit to Milwaukee, offering up his unique and uncensored take on sex, parenting and more.",1421373
Louis C.K.: Live at the Comedy Store ,"The comic puts his trademark hilarious/thought-provoking spin on finding a bat in his kitchen, seeing rats having sex, Boston accents and dead pets.",4368814
Love ,"In Jakarta, five couples of varying ages and backgrounds experience the different stages of romantic love, from its giddy start to its painful end.",4061080
Love 101 ,"While trying to make their teacher fall for a basketball coach, four misfits and a model student find friendship, love and the courage to be themselves.",10516352
Love Aaj Kal ,"When professional ambitions clash with personal feelings for a modern-day couple, a love story from a bygone decade may offer some wisdom.",No ID found
Love Actually ," This ensemble comedy is a charming treatise on romance, telling 10 intertwining London love stories, leading up to a climax on Christmas Eve.",314331
The Love Affair ,"Feeling betrayed by their romantic partners' infidelity, Adrianne and Vince struggle to forgive while finding comfort with each other.",4202506
Love and Other Impossible Pursuits ," Emilia wins the heart of the handsome object of her affection, only to find that the relationship comes with some very real baggage.",1032825
Love and Shukla ,"A sexually inexperienced rickshaw driver struggles to build intimacy with his shy new wife in their tiny, overcrowded quarters.",7647198
Love Beats Rhymes ,"After enrolling in a college poetry course, a struggling rapper finds inspiration for her new voice through slam poetry.",4686108
Love By Chance ,"A pastry chef's meddling mom sets her up with a handsome doctor, but when love starts to blossom, the doctor doesn't want to keep up the ruse.",5566660
Love Dot Com: The Social Experiment ,"Sparks fly and romance blooms when Shelby, a vegan chef, meets Greg, a developer - until their opposing views clash.",9238392
Love for Sale ," Richard accepts a bet that he can't find a companion to a friend's wedding, not knowing the dating app he's using includes a 45-day contract.",1172996
Love for Sale 2 ,"Exhausted with his mother's failed attempts at setting him up with women, Ican hires an ideal partner from a matchmaking app.",10643938
Love In A Puff ,"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating a meeting between Cherie, a makeup saleswoman, and Jimmy, an advertising exec.",1602479
Love Is a Story ,"Two young artists, a violin player and an actress, fight to achieve their dreams and keep their relationship together during Christmastime.",3764686
Love Is Blind ,"Nick and Vanessa Lachey host this social experiment where single men and women look for love and get engaged, all before meeting in person.",No ID found
Love Is Blind ,"Diagnosed with selective perception, a young woman is prescribed by a psychotherapist to spend time with a troubled man she cannot see.",No ID found
Love Is War ,An adoring couple elects to test the strength of their marriage when they run against each other for the office of state governor.,No ID found
Love Like the Falling Rain (Seperti Hujan Yang Jatuh Ke Bumi) ,"Fearing rejection, a young man struggles to declare his feelings for his best friend, who soon falls for another man -- until a fateful incident.",12217814
Love Ni Bhavai ,"Not romantically inclined, a popular radio personality finds herself caught between two diametrically opposed suitors.",7580570
Love O2O ,A college stud tries to level up his relationship with a computer science major after becoming attracted to her skills in an online role-playing game.,6055498
Love Off the Cuff ,Cherie and Jimmy's relationship is in a rut -- until Cherie's estranged father shows up and a woman from Jimmy's past shows up with a hidden agenda.,5956006
Love on Delivery ,"To prove himself to a love interest, a delivery boy learns dubious kung fu from an aging charlatan so he can challenge his archrival to a fight.",110852
Love Per Square Foot ,"Individually, bank employees Sanjay and Karina don't earn enough to be able to buy a home, so they decide to enter into a marriage of convenience.",7853242
Love Station (Eza'at Hubb) ,"Single coworkers at a radio station are brought together by mutual friends, but their starry-eyed notions about love may scuttle their romance.",2133220
Love Wedding Repeat ,"Different versions of the same day unfold as Jack juggles difficult guests, unbridled chaos and potential romance at his sister's wedding.",5096470
Love You... Love You Not ,A love triangle gets complicated when a female English tutor unknowingly gets between a hot-tempered guy and his off-to-the-United States girlfriend.,7277350
"Love, Guaranteed ",Sparks fly when a crusading but cash-strapped attorney takes on a charming client looking to sue a dating site that guarantees its users will find love.,11100856
"Love, Surreal and Odd (Tatlim Tatlim) ","When a group of people meets at the same party, they form four different relationships, each experiencing similar phases of love.",6555772
Love.com ,"When a fashion blogger falls for a video game vlogger, their romance goes viral. But separating their virtual life from reality gets complicated.",810415
The Lovebirds ,"When a couple in the fast lane to splitsville accidentally careens into a murder, they take off on a wild race to find the killer and clear their names.",8851668
Lovesong ,"Best friends Sarah and Mindy share an unexpected moment while on a road trip. Years later, the two struggle to reconnect before a wedding.",4305148
Loving is Losing (El Que Se Enamora Pierde) ,"When a newly single photographer is forced to work with a longtime rival, the battle of their egos turns into a chance for love.",9619402
Loving You ,"Struggling in a loveless marriage, a hard-drinking, workaholic cop finds a chance at redemption after a fateful incident leaves him wounded.",50659
"LSD: Love, Sex Aur Dhokha ",This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.,1608777
Lucas Brothers: On Drugs ,"Deadpan twin comics Keith and Kenny Lucas take the stage in Brooklyn with a set that touches on drugs, race, Deion Sanders, teachers and O.J. Simpson.",6218048
Luccas Neto em: Acampamento de Férias 2 ,"Luccas and his band of buddies make music and mischief at a new summer camp, where they face off with talented rivals and their tough coach.",12325326
Luccas Neto in: Children's Day (Luccas Neto em: Dia das Crianças) ,"When Luccas Neto plans a big Children's Day celebration, an unexpected threat at school puts the party -- and his friends -- at risk.",No ID found
Luccas Neto in: Summer Camp (Luccas Neto em: Acampamento de Férias) ,Luccas and Gi are heading to a world famous gymkhana camp. Only problem: so are their bullies... A fun musical that will get you in a vacation mood.,12325302
Luccas Neto in: The End of Christmas (Luccas Neto em: O Fim do Natal) ,"To save Christmas, Luccas and Gi head to the North Pole and are recruited by Santa Claus to find all the gifts that have mysteriously disappeared.",No ID found
Lucha: Playing the Impossible (Lucha. Jugando con lo imposible) ,"Known simply as ""Lucha,"" field hockey player Luciana Aymar shares her tumultuous and triumphant journey to become the best in the world.",5639784
Luciano Mellera: Infantiloide ,Argentina's Luciano Mellera emphasizes the humorous and fantastical aspects of childhood through comedic impersonations and insights on daily life.,7607400
Lucid Dream ,"After searching for his abducted son for three years, a devastated father attempts to track down his missing child through lucid dreams.",No ID found
Luck by Chance ," When Vikram gets tapped to play the male lead in a Bollywood film, he can't believe his luck. But it may ruin his relationship with his girlfriend.",886539
Luckee ,"When his friends make a bet that he can woo his college crush, a lovesick student named Luckee struggles between satisfying his heart and hormones.",No ID found
Lucknow Central ,"After being arrested for a crime he didn't commit, an aspiring musician teams up with some of his inmates at Lucknow Central to form a band.",5697870
The Lucky One ,Marine vet Logan sets out to find the woman behind the smile in the lucky-charm photo that steered his fate while serving in Iraq.,1327194
Lucky: No Time for Love ,"During an uprising in Russia's St. Petersburg, teen girl Lucky meets handsome Aditya, the Indian ambassador's son, and together they flee the chaos.",449306
Lucy ," When a young American in Taiwan becomes an unwilling drug mule, the high-tech narcotics get released into her system and activate superhuman powers.",2872732
Ludo ,"Needing a secluded place for a late-night tryst, two couples stow away in a mall after hours, but are quickly ensnared in a gruesome and deadly game.",No ID found
Luka Chuppi ,"Pretending to marry in order to cohabitate, a small-town couple lands in endless awkward situations to hide the truth from their orthodox families.",8908002
Lupin the 3rd: The Castle of Cagliostro: Special Edition ,"Lupin, his sidekick, Jigen, and the samurai warrior Goemon set out to take over an evil counterfeit operation at Count Cagliostro's fortress.",No ID found
Lupt ,"Haunted by disturbing visions, a workaholic takes a vacation with his family, but a detour leads them to an unsettling stranger and chilling events.",8698956
Lusers ,Three men from different nations must find their way out of the Amazon jungle -- on foot -- when they get lost on the way to Brazil's World Cup Final.,4778602
Lust Stories ,"In the companion to 2013's ""Bombay Talkies,"" four short films by four of India's biggest directors explore love, sex and relationships in modern India.",8439854
Luv Shuv Tey Chicken Khurana ,"Fleeing London to evade a gangland debt collector, Omi Khurana returns to his native village in India, passing himself off as a successful lawyer.",2186933
Lynne Koplitz: Hormonal Beast ,"Unabashed comedian Lynne Koplitz offers a woman's take on being crazy, the benefits of childlessness and the three things all men really want.",6892388
Ma Chu Ka ,The relationship between a journalist and a lawyer she meets while investigating a story grows complicated as she uncovers layers of deception.,5349672
Maacher Jhol ,"On his first visit to his home city of Kolkata in 13 years, a Paris-based chef is faced with a cooking challenge that will change his life forever.",6903200
Mac and Devin Go to High School ,"Devin Overstreet may be the class valedictorian, but he hasn&#39;t had much life experience. Enter Mac Johnson, a 10th-year senior and weed dealer.",1870425
Macho ,A famous designer who's always pretended to be gay finds himself in crisis mode when threatened with exposure as the woman-chasing straight guy he is.,No ID found
The Mad Monk ,"To avoid punishment for his misdeeds, an arrogant god accepts a mission to reform three mortals on earth, where he must also contend with a demon.",106538
Mad World (Yat nim mou ming) ,"A stockbroker struggling with bipolar disorder goes to live with his estranged father in a cramped flat, where old resentments bubble to the surface.",6041030
Madagascar ," When the ship they're on capsizes, a lion, zebra, giraffe and hippo from a zoo become stranded on Madagascar, an island populated by oddballs.",No ID found
Madagascar 3: Europe's Most Wanted ," Having ended their African adventures, Alex and his friends set their sights for New York City -- this time, hitching a ride with a traveling circus.",1277953
Madagascar: Escape 2 Africa ," A botched rescue strands Alex the lion and his companions in Africa. Sadly, Alex discovers he has little in common with the locals.",479952
Maddman: The Steve Madden Story ,This documentary chronicles the rise of the footwear designer behind a billion-dollar empire and his subsequent comeback after a financial scandal.,2987718
Made in China ,"After a trip to China, a struggling entrepreneur returns to India as the supplier of an illegal aphrodisiac -- but all he ends up stimulating is chaos.",No ID found
Made of Honour ," Suddenly realizing he loves his platonic best friend, a perennial skirt-chaser uses his role as her ""maid"" of honor to unravel her marriage plans.",866439
Madea's Family Reunion ,"Amid the chaos of preparing for a family reunion, gun-toting granny Madea must try to keep her clan together in the face of various emotional crises.",455612
Madness in the Desert (Chale Chalo: The Lunacy of Film Making) ,"The story of making 'Lagaan,' one of the millennium's seminal Indian films, is told from the point of view of production team member Satyajit Bhatkal.",417528
Madras Café , An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.,2855648
Magic for Humans ," From baffling people on the street to orchestrating elaborate tricks, Justin Willman blends good-natured magic with grown-up laughs.",8425308
Magic Mike ,Veteran male stripper Magic Mike introduces a new dancer known as the Kid to the pleasures -- and perils -- of their profession.,1915581
Magnificent ,An industrialist's daughter is forced to marry a rich heir by her greedy grandmother as her adopted sister bonds with the charismatic wedding planner.,No ID found
Maharaja: The Story of Ranjit Singh ,"The tale of legendary warrior king Ranjit Singh, and his rise to establishing Punjab's Sikh empire, comes to life in this animated feature.",11317462
Mahi NRI ,"A Punjabi man attempts to build a life in London in hopes of impressing his girlfriend's mother, who insists her daughter marry a man outside of India.",5910902
Mahjong Heroes ,"In this comedy, characters from all walks of life go head-to-head around the mahjong table in a high-stakes contest of different playing styles.",445305
Maid in Manhattan , Sparks fly when a chambermaid and a rising politician literally collide at a posh New York City hotel. The only problem? He assumes she's a guest.,252076
Main aurr Mrs. Khanna ,"A financially troubled Indian man heads to Singapore to find employment, while his pretty wife stays behind in a move that could cause trouble.",1174041
The Main Event ,"Using special powers from a magical mask, a young WWE fan causes chaos when he enters a wrestling competition and fights an intimidating rival.",10540242
Main Hoon Na ,Major Ram Prasad Sharma yearns to see project Mission Milaap come to fruition and usher in an era of peace between two warring countries. But the evil Raghavan will do anything to stop the peace process.,347473
"Main, Meri Patni Aur Woh ","An ordinary-looking guy weds the woman of his dreams, but his jealousy threatens to destroy their union in this lighthearted tale of marital mismatch.",No ID found
Maine Pyaar Kyun Kiya ,"After lying to his girlfriend, orthopedic surgeon Samir must conjure up a pretend wife in this musical comedy.",No ID found
Maj Rati Keteki ,"A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks.",8914956
Mak Cun ,A woman with an entrepreneurial spirit takes life into her own hands by starting a beauty cream business that inspires other women to take chances.,No ID found
Making The Witcher ,"Journey into the extraordinary world of ""The Witcher"" -- from casting the roles to Jaskier's catchy song -- in this behind-the-scenes look at the series.",12987838
Maktub ,"After surviving a bomb attack, two low-level mobsters in Jerusalem change their ways and set about making strangers' Wailing Wall prayers come true.",No ID found
Mala Kahich Problem Nahi ,"With their relationship running on autopilot, a discontent husband and wife must confront their issues while on a trip with the extended family.",7408358
Malaal ,"Class divides become thorns in the budding romance between the crony of a nativist Mumbai politician and the new, North Indian resident of his chawl.",10305616
Malang ,"Years after a police encounter separates him from his lover, an angry young man goes on a killing spree, with an equally vengeful cop on his heels.",9877170
Malena Pichot: Estupidez compleja ,"An Argentine comedian espouses the values of feminism, speaking on topics like sex, language, abortion and why it's OK to let a man buy you dinner.",7607370
Malevolent ,"A brother-sister team who fake paranormal encounters for cash get more than they bargained for when a job at a haunted estate turns very, very real.",2386237
Malibu Rescue ,"When a long list of shenanigans lands Tyler in hot water, he's forced to suit up and spend his summer training for an elite junior lifeguard program.",9098432
Malibu Rescue: The Next Wave ,"As summer returns to Malibu, Team Flounder takes to the beach to host -- and unexpectedly compete in -- the International Beachmaster Competition.",11032990
Malibu Rescue: The Series ,"On the heels of Junior Rescue training, Team Flounder returns to brave the beach in a series of thrilling saves and lighthearted laughs.",9098432
Malicious ,"After receiving a strange present, a professor and his pregnant wife are plagued by tragedy and a paranormal presence that's determined to kill.",6197494
Mallesham ,"A self-trained engineer risks debt, love and reputation in his quest to improve the grueling work conditions of his mother and her weaving community.",9742362
Mama's Boy (Qalb Ummuh) ,A man undergoes a heart transplant following a serious injury and begins to take on some of the donor's motherly characteristics.,8665900
Mamma Mia! Here We Go Again ,"Looking back at her free-spirited mother's life and dancing towards her next chapter, Sophie throws open the doors of the new Hotel Bella Donna.",6911608
Man Down ,"A childish idiot trapped in an adult's body, schoolteacher Dan hates his job, hates his girlfriend-less life and has good reason to fear his dad.",3063454
Man Like Mobeen ," Mobeen is trying to be a good friend, follow the faith and raise his teenage sister. Yet his past -- and everyday life -- complicates matters.",7639280
Man of Steel ,"Drifter Clark Kent must keep his powers hidden from the world, but when an evil general plans to destroy Earth, the Man of Steel springs into action.",770828
The Man Who Feels No Pain (Mard Ko Dard Nahin Hota) ,"Leveraging his ability to withstand pain, a young man trains to follow in the footsteps of his martial-arts hero in this high-action, meta comedy.",8055888
The Man Who Would Be Polka King ,This irreverent documentary reveals how charming entertainer Jan Lewan bilked investors out of millions in a complicated investment scam.,1313047
The Man Without Gravity ,A gravity-defying boy raised in seclusion matures into an extraordinary man -- and an international celebrity -- who longs for human connection.,9646240
Mandi ,"Forbidden love, fraying loyalties and flagrant hypocrisy emerge when sanctimonious politicians drive a madam's brothel from the heart of Hyderabad.",No ID found
Mandobasar Galpo ,"With the assistance of a psychiatrist, an acclaimed filmmaker struggles to come to terms with a mysterious romantic trauma.",6559080
Mango Dreams ,"Concerned that dementia will soon steal his most cherished memories, a Hindu doctor hires a Mulsim rickshaw driver to take him to his childhood home.",5069158
Manhattan Murder Mystery ,"When an elderly neighbor in good health unexpectedly dies, New Yorker Carol Lipton is convinced that the woman's death was no accident.",107507
Manhunt ,A Chinese pharmaceutical lawyer framed for a vile crime teams up with a sharp-witted Japanese detective to stop a dangerous corporate plot.,7801964
Maniac ,"A nondescript man in a mental hospital has an exciting life of adventure and romance -- in his head. He may be insane, or maybe he's just having fun.",5580146
Maniac ,Two struggling strangers connect during a mind-bending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer.,5580146
Maniyarayile Ashokan ,"When his unlucky horoscope doesn't bode well for his future wife, an earnest bachelor goes to surprising lengths to get the family he's always wanted.",11060730
Manje Bistre ,"While prepping for a family wedding, a young man falls for his sister's friend, who has already been promised to someone else.",6705612
Manmadhudu 2 ,"Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop.",10076106
Mann (Mind) ,"A smooth talker falls for a music teacher aboard a cruise, but a cruel twist of fate hinders their plans to meet again months later.",No ID found
Manorama Six Feet Under ," A government employee and aspiring crime writer, who is under investigation for corruption, is asked by a politician's wife to spy on her husband.",920464
Manoranjan ,"After getting fired, a police officer connects with a prostitute he met on the job in a red-light district and sets out to keep her off the streets.",71811
Mansfield Park ,"A poor heroine is sent to live with wealthy relatives in 1800s England, where her wit and writing talent find the room, and circumstance, to grow.",178737
The Mansion (Le Manoir) ,"A group of students celebrates New Year's at a remote Belgian estate, where their substance-fueled revelry soon descends into a bloodstained nightmare.",7029854
Manson Family Vacation ,"The pleasant family life of an L.A. attorney is disrupted by the sudden arrival of his brother, who is obsessed with the Charles Manson murders.",3275216
Manto ,The controversial and troubled Indo-Pakistani writer Saadat Hasan Manto finds his artistic choices challenged by censors.,6923462
Mantostaan ,Four stories by writer Sadaat Hasan Manto culminate in a single gruesome drama that's set during the partitioning of the Indian subcontinent.,5569160
Mantra ,An Indian business owner struggles to keep his company afloat amid global competition while trying to make up for lost time with his family.,No ID found
Manu ,"The relationship between a painter and his admirer unfolds as an abstract, twist-filled hide-and-seek game against the backdrop of murder and revenge.",No ID found
Manu NNa Speciale ,Eclectic stand-up comic Manu NNa relays everyday tales about the struggles of being gay in Mexico and shares his love of telenovelas and mezcal.,6833550
Manusangada ,"When caste discrimination prevents a villager from giving his deceased father a rightful burial, he takes his fight for equality to court.",7475710
Mapplethorpe ,"This biopic traces the life and legacy of photographer Robert Mapplethorpe, whose erotic, unflinching imagery shifted the boundaries of art.",1389098
Mara ,"When criminal psychologist Kate Fuller investigates a man who was seemingly murdered in his sleep by his wife, she uncovers a case like no other.",1773753
Marc Maron: End Times Fun ,"Marc Maron wades through a swamp of vitamin hustlers, evangelicals and grown male nerd children, culminating in a gleefully filthy end-times fantasy.",11810418
Marc Maron: Thinky Pain ," Alternative comic Marc Maron is back on stage in New York to talk Chinese food, drug abuse, sex in hotel rooms and life with his girlfriend.",3004634
Marc Maron: Too Real ,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.",7335938
Marco Luque: Tamo Junto ,"Eclectic character comedian Marco Luque plays himself in this stand-up special about relationships, regional differences and his own love of movies.",6852616
Marco Polo ," Set in a world of greed, betrayal, sexual intrigue and rivalry, ""Marco Polo"" is based on the famed explorer's adventures in Kublai Khan's court.",2189461
Marco Polo: One Hundred Eyes ,A defiant warrior-monk arrives at Kublai Khan&#39;s court in chains and soon earns his tragic nickname in this 30-minute origin story.,5235348
Maria ,"An ex-assassin tries to leave her dark past behind until a power-hungry gang targets her and her family, forcing her to summon her killer instincts.",No ID found
Maria Bamford: Old Baby ,"Maria Bamford performs a rapid-fire, playful stand-up set for crowds at park benches, bowling alleys and LA theaters in this roving comedy special.",No ID found
Maria Bamford: The Special Special Special ,"Spend an evening with gleeful, oh-so-awkward Maria Bamford via her cozy, shot-at-home comedy special, which has a two-person audience: her parents.",2546038
Mariah Carey's Merriest Christmas ,Pop music superstar Mariah Carey hosts this all-star holiday celebration with special guests and a celebrity reading of 'The Night Before Christmas.',5579910
Mark of the Devil (La Marca del Demonio) ,"When two sisters open an ancient book that ushers evil into their midst, a possessed priest wrestling with his own demons becomes their only salvation.",7263040
Marlon ," After the friendliest divorce ever, a carefree but devoted father navigates post-split parenting life with his levelheaded ex-wife and two kids.",5720168
Marlon Wayans: Woke-ish ,"Rollicking, outrageous and audacious, Marlon Wayans gets raw on racism, age-appropriate rap rhymes, gay rights, raising kids and even the Kardashians.",7655590
Maroon ,"When his wife goes missing, university professor Saurabh remains at home while the police investigate, but his grip on reality loosens as days pass.",No ID found
Marriage Palace ,"After a young man charms the girl he loves into accepting his proposal, an accidental swap on their wedding day leads him to marry the wrong bride.",8852242
Marriage Story ,Academy Award-nominated filmmaker Noah Baumbach directs this incisive and compassionate look at a marriage coming apart and a family staying together.,7653254
The Married Couples (Al Motazoujon) ,"Hailing from different classes, a young man and his wife try to find their version of happily married when both yearn to leave their old lives behind.",7085732
The Mars Generation ,"Self-professed teenage ""space nerds"" at Space Camp chase their dreams of traveling to Mars, while experts reflect on NASA's history and future.",6333096
Marshall ,"This biopic of Thurgood Marshall, the first black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer.",5301662
Martial Arts of Shaolin ," In ancient China, Zhi Ming trains at the legendary Northern Shaolin temple to avenge the death of his father at the hands of a nefarious magistrate.",91607
"Martin Matte: La vie, la mort...eh la la..! ","Quebecois comedy star Martin Matte serves up embarrassing personal stories, a solution for social media trolls and more in this unpredictable special.",10965252
Marvel and ESPN Films Present: 1 of 1: Genesis ,"This documentary explores the connections between elite athletes and Marvel superheros such as Spider Man, Black Widow and Captain America.",4340322
Marvel Super Hero Adventures: Frost Fight! ,"In this Christmas-themed special, Captain America and the Avengers battle Loki and Ymir, who plot to steal Santa Claus&#39; powers and conquer the world.",5272052
Marvel's Hulk: Where Monsters Dwell ,"On Halloween, the Hulk and Dr. Strange battle monsters wreaking havoc on New York and uncover an evil plot by Nightmare, ruler of the Dream Dimension.",6173902
Mary Kom , The daughter of a poor rice farmer overcomes the objections of her father and the demands of a male-dominated society to pursue a career in boxing.,No ID found
Mary Poppins Returns ,"In 1930s London, Michael Banks and his three children get some help turning their topsy-turvy world around when his magical childhood nanny reappears.",5028340
Mary Shelley's Frankenstein ,"Rejected by society, a creature comprised of criminals' corpses and a brilliant brain plots revenge against his creator, Dr. Viktor Frankenstein.",No ID found
Masameer - The Movie ,A young girl passionate about AI sets out to make an impact as three friends become crime-fighting superheroes. Based on the hit animated web series.,11561866
Mascots ,"Eager contestants don big heads and furry suits to vie for the title of World's Best Mascot in this offbeat, comic romp from Christopher Guest.",4936176
Maska ,"Determined to make it in showbiz, an aspiring young actor considers turning his back on the beloved Irani café run by his family for generations.",No ID found
Masoom ,A loving husband and father's joyful family life is rocked to its core upon the discovery that he has a young son borne from a past extramarital affair.,85913
Master of None ," New Yorker Dev takes on such pillars of maturity as the first big job, a serious relationship, and busting sex offenders on the subway.",4635276
Master Z: The Ip Man Legacy ,"In this spin-off, a martial arts expert once defeated by Ip Man is forced to abandon his reclusive lifestyle to combat a rising Chinese triad.",7262882
Masterminds ,"Four dim-witted Southerners pull off one of the biggest heists in American history, robbing $17 million from a Loomis Fargo armored truck.",2461150
Match ,"After living with a criminal father, two brothers on different paths head for a direct collision when an intriguing woman enters both of their lives.",No ID found
The Match ,"One football match on a dirt pitch near Rome becomes a day of reckoning as a young player, his coach and their team's owner wrestle internal demons.",6639482
Mater ,A single man in his 30s overwhelmed by his domineering mother meets a lesbian couple willing to go to extreme lengths to have a child.,No ID found
Material ,"A dutiful son must hide his pursuit of stand-up comedy from his staunch father, who expects him to inherit his store and uphold their Muslim beliefs.",No ID found
Matilda ," Cursed with a cruel school principal and parents, a little girl discovers her hidden powers -- which she uses to stand up to the bullies in her life.",117008
The Matrix ,A computer hacker learns that what most people perceive as reality is actually a simulation created by machines and joins a rebellion to break free.,133093
Mau Nieto: Viviendo sobrio… desde el bar ,"Performing at a bar, Mexican stand-up comedian Mau Nieto dishes on his modest upbringing, his failed relationships and his attempts to stay sober.",7607492
Mauli ,An unconventional police officer faces off against a gang of thugs as he tries to bring order to the far-flung village he's been stationed in.,8826936
Maurício Meirelles: Generating Chaos ,"Comedian Maurício Meirelles explores his chaotic mind with scathingly funny views on family, prejudices, turtles and more in this stand-up special.",11133480
The Maus ,"While traveling with her German boyfriend, Selma is confronted by the violent remnants of the Bosnian War and the ethnic cleansing her family faced.",5586362
Max Steel ,"After 16-year-old Max moves to his late father's hometown, he meets a snarky alien and discovers an amazing -- but dangerous -- power within himself.",1472584
May the Devil Take You ,"Hoping to find answers to her estranged father's mysterious illness, a young woman visits his old villa and uncovers a horrifying truth from the past.",8765496
May We Chat (Mei Gaau Siu Nui) ," A messaging app unites a mute prostitute, an unruly rich girl and a stormy young woman, three Hong Kong teens living in pain and excess.",3864758
May You Prosper (Yigaloo Amer) ," A man's inability to conquer his personal insecurities and distrust of other people leads to problems with his on-again, off-again wife and their son.",8888108
Maya Memsaab ,"A wealthy woman engages in extramarital affairs that still leave her unhappy. After a mysterious crime occurs, police are called to investigate.",137100
Mayday Life ,Mayday's Life Tour concert unfolds as five fading superheroes are summoned to save the world from an extraterrestrial enemy that detests sound.,10346206
Mayurakshi ,"When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them.",7570242
Maz Jobrani: Immigrant ,"Iranian American comic Maz Jobrani lights up the Kennedy Center with riffs on immigrant life in the Trump era, modern parenting pitfalls and more.",No ID found
McQueen ,Darkness sparks brilliance in this exhilarating portrait of the mind and designs of legendary but tormented fashion visionary Alexander McQueen.,No ID found
Me and the Alien (El Alien y yo) ,"Hoping to pump up their sound, a punk band hires Pepe, a keyboardist with Down Syndrome, but tensions erupt when he steals the show with his talent.",5153158
Mea Culpa ,"Raw and outspoken, comedian Alexis de Anda bares her soul about weddings, exercise, sex, gynecologists, drugs and much more in this stand-up special.",No ID found
Mean Girls , Cady joins her new high school's most powerful clique -- but there's hell to pay when the ex-boyfriend of the clique's leader wants to be Cady's guy.,377092
The Meaning of Monty Python ,"Five Pythons reflect on their creative process, politics, television and the making of their award-winning final film, ""The Meaning of Life.""",3260850
Mechanic: Resurrection ," When the woman he loves is kidnapped by an old enemy, retired hit man Arthur Bishop is forced to tackle a list of difficult assassination missions.",3522806
Medical Police ,Doctors Owen Maestro and Lola Spratt leave Childrens Hospital and join a secret arm of the CDC to investigate and destroy a deadly global virus.,9850952
Meet Joe Black ,"When the grim reaper comes for a megamogul, he offers a proposition: Host him for a ""vacation"" among the living in trade for a few more days of life.",119643
Meet the Adebanjos ,"In South London, tradition clashes with culture as a Nigerian father tries to instill his old-fashioned African values into his modern British family.",2344781
Meet the In-Laws ,"When their respective parents oppose their union, a newly engaged couple learns that the reasons for pushback run deeper than just tribal differences.",8332742
The Meg ,"A washed-out rescue diver is pulled back in for one more job -- to save his friends from a monstrous megalodon, long thought extinct.",4779682
Megamind ," When cunning supervillain Megamind accidently kills his crime-fighting nemesis, he creates a new enemy who seeks to destroy the world.",1001526
Meghnadbodh Rohoshyo ,"A professor mysteriously vanishes, leaving behind a host of suspects, a shadowy history and a clue: the anonymous birthday gift of a Bengali classic.",6791638
Mehandi Circus ,"In the early 1990s, the love between a cassette shop owner and a traveling circus performer challenges caste barriers and disapproving parents.",9665400
Melle ,"After recovering from a tragic experience, a young woman makes a journey to her father's homeland and falls in love with a kind-hearted doctor.",7244092
Melvin Goes to Dinner ,"When Melvin and his friends gather for dinner, their casual conversation takes a sharp turn as they begin to disclose raw truths about themselves.",323633
